congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
117,Senate,41302,35,0.0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951.0,,0.465,0.306,-135.53136,0.85651,875.0,49.0,,0.455,0.255,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,89.24668874172193,949.0
117,Senate,41503,35,0.0,NE,200,,,"SASSE, Benjamin Eric",S001197,1972.0,,0.669,-0.25,-168.18766000000002,0.82105,853.0,79.0,,0.573,-0.098,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,88.10938189845469,949.0
117,Senate,21743,65,0.0,NV,100,,,"ROSEN, Jacklyn Sheryl",R000608,1957.0,,-0.28800000000000003,0.321,-24.24482,0.97295,884.0,11.0,,-0.259,0.20199999999999999,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.08576158940377,949.0
117,Senate,41700,65,0.0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964.0,,-0.36,0.321,-31.72662,0.9654,901.0,15.0,,-0.237,0.20800000000000002,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,97.85441501103747,949.0
117,Senate,40906,4,0.0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947.0,,-0.23800000000000002,-0.135,-15.542589999999999,0.9820700000000001,859.0,6.0,,-0.235,-0.13,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.77406181015434,949.0
117,Senate,41702,4,0.0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958.0,,-0.23399999999999999,0.022000000000000002,-42.20747,0.95404,897.0,18.0,,-0.212,0.185,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,97.59724061810158,949.0
117,Senate,29373,12,0.0,NJ,100,,,"MENENDEZ, Robert",M000639,1954.0,,-0.366,-0.12,-24.59105,0.9723200000000001,876.0,9.0,,-0.44299999999999995,-0.012,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.6497792494481,949.0
117,Senate,41308,12,0.0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969.0,,-0.58,-0.278,-24.3739,0.9727399999999999,882.0,10.0,,-0.516,-0.415,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.3316777041942,949.0
117,Senate,20930,66,0.0,NM,100,,,"HEINRICH, Martin",H001046,1971.0,,-0.33,-0.027999999999999997,-16.80803,0.98114,883.0,7.0,,-0.439,0.053,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.79128035320085,949.0
117,Senate,20932,66,0.0,NM,100,,,"LUJÁN, Ben Ray",L000570,1972.0,,-0.369,0.012,-15.0796,0.98208,834.0,7.0,,-0.42100000000000004,0.048,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.87108167770421,949.0
