congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
50,House,8157,32,4.0,KS,200,0.0,1.0,"RYAN, Thomas",R000559,1837.0,1914.0,0.355,0.562,-43.010870000000004,0.807,201.0,16.0,,0.301,0.63,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,85.43494423791819,320.0
50,House,9514,32,6.0,KS,200,0.0,1.0,"TURNER, Erastus Johnson",T000419,1846.0,1933.0,0.396,0.7929999999999999,-51.56307,0.76,188.0,26.0,,0.467,0.884,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,83.18703703703709,320.0
50,House,996,51,7.0,KY,100,0.0,1.0,"BRECKINRIDGE, William Campbell Preston",B000790,1837.0,1904.0,-0.45799999999999996,-0.475,-73.60386,0.7070000000000001,212.0,30.0,,-0.506,-0.479,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,74.71911764705885,320.0
50,House,1509,51,6.0,KY,100,0.0,1.0,"CARLISLE, John Griffin",C000152,1834.0,1910.0,-0.491,-0.456,,,,,,-0.44799999999999995,-0.7070000000000001,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,86.33,11.0
50,House,1557,51,5.0,KY,100,0.0,1.0,"CARUTH, Asher Graham",C000208,1844.0,1907.0,-0.33399999999999996,-0.382,-81.70096,0.6829999999999999,214.0,39.0,,-0.304,-0.529,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,73.21470588235299,320.0
50,House,3155,51,11.0,KY,200,0.0,1.0,"FINLEY, Hugh Franklin",F000133,1833.0,1909.0,0.363,0.736,-58.45456,0.7340000000000001,189.0,26.0,,0.41100000000000003,0.469,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,82.65592592592591,320.0
50,House,4760,51,3.0,KY,200,0.0,1.0,"HUNTER, Whiteside Godfrey",H000989,1841.0,1917.0,0.486,-0.276,-28.075159999999997,0.87,201.0,15.0,,0.456,-0.519,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,89.17222222222226,320.0
50,House,5398,51,2.0,KY,100,0.0,1.0,"LAFFOON, Polk",L000016,1844.0,1906.0,-0.45,0.015,-57.186890000000005,0.7090000000000001,166.0,25.0,,-0.41100000000000003,-0.034,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,77.75036764705891,320.0
50,House,6194,51,8.0,KY,100,0.0,1.0,"McCREARY, James Bennett",M000382,1838.0,1918.0,-0.365,-0.067,-73.57596,0.71,215.0,31.0,,-0.35200000000000004,-0.14,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,75.89669117647065,320.0
50,House,6600,51,4.0,KY,100,0.0,1.0,"MONTGOMERY, Alexander Brooks",M000863,1837.0,1910.0,-0.457,-0.08900000000000001,-75.7764,0.6729999999999999,191.0,36.0,,-0.358,-0.005,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,75.8040441176471,320.0
50,House,8990,51,1.0,KY,100,0.0,1.0,"STONE, William Johnson",S000969,1841.0,1923.0,-0.419,-0.146,-88.60401,0.71,259.0,40.0,,-0.457,-0.051,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,76.15257352941178,320.0
50,House,9191,51,10.0,KY,100,0.0,1.0,"TAULBEE, William Preston",T000055,1851.0,1890.0,-0.257,0.039,-100.59548000000001,0.584,187.0,53.0,,-0.235,-0.256,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,69.9918819188192,320.0
50,House,9293,51,9.0,KY,200,0.0,1.0,"THOMAS, George Morgan",T000167,1828.0,1914.0,0.532,-0.634,-26.25785,0.879,204.0,10.0,,0.53,-0.5579999999999999,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,89.06925925925933,320.0
50,House,781,45,4.0,LA,100,0.0,1.0,"BLANCHARD, Newton Crain",B000541,1849.0,1922.0,-0.423,-0.146,-50.75013,0.706,146.0,26.0,,-0.45899999999999996,-0.515,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,77.07084870848706,320.0
50,House,3511,45,3.0,LA,100,0.0,1.0,"GAY, Edward James",G000103,1816.0,1889.0,-0.298,-0.491,-59.58631999999999,0.5870000000000001,112.0,35.0,,-0.321,-0.638,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,70.61070110701104,320.0
50,House,5405,45,2.0,LA,100,0.0,1.0,"LAGAN, Matthew Diamond",L000019,1829.0,1901.0,-0.354,-0.61,-49.23426,0.6829999999999999,129.0,23.0,,-0.384,-0.377,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,72.9457564575646,320.0
50,House,6902,45,5.0,LA,100,0.0,1.0,"NEWTON, Cherubusco",N000074,1848.0,1910.0,-0.431,-0.5579999999999999,-68.70051,0.675,175.0,39.0,,-0.433,-0.593,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,73.6426470588236,320.0
